"promotion_id","promotion_name","promotion_type","start_datetime","end_datetime","asin","views","units","sales"
dc0857aa,"Luxe Weavers Art Deco Abstract Geometric Area Rug, Medium Pile, Stain-Resistant Carpet",BEST_DEAL,2022-11-21 08:00:00.000 +0000,2022-11-28 07:45:00.000 +0000,B08N1KK2DF,0,0,0.0
dc0857aa,"Luxe Weavers Art Deco Abstract Geometric Area Rug, Medium Pile, Stain-Resistant Carpet",BEST_DEAL,2022-11-21 08:00:00.000 +0000,2022-11-28 07:45:00.000 +0000,B08N1J25DR,249,3,102.0
dc0857aa,"Luxe Weavers Art Deco Abstract Geometric Area Rug, Medium Pile, Stain-Resistant Carpet",BEST_DEAL,2022-11-21 08:00:00.000 +0000,2022-11-28 07:45:00.000 +0000,B08N1J8QG3,157,3,306.0
dc0857aa,"Luxe Weavers Art Deco Abstract Geometric Area Rug, Medium Pile, Stain-Resistant Carpet",BEST_DEAL,2022-11-21 08:00:00.000 +0000,2022-11-28 07:45:00.000 +0000,B08N1L28H3,145,2,153.0
dc0857aa,"Luxe Weavers Art Deco Abstract Geometric Area Rug, Medium Pile, Stain-Resistant Carpet",BEST_DEAL,2022-11-21 08:00:00.000 +0000,2022-11-28 07:45:00.000 +0000,B08N1JPN3N,169,1,76.5
dc0857aa,"Luxe Weavers Art Deco Abstract Geometric Area Rug, Medium Pile, Stain-Resistant Carpet",BEST_DEAL,2022-11-21 08:00:00.000 +0000,2022-11-28 07:45:00.000 +0000,B08N1LJCSY,1017,4,170.0
"78e8c25d","LUXE WEAVERS Modern Area Rugs with Abstract Patterns 7681 â Medium Pile Area Rug, Passion / 6 x 9",BEST_DEAL,2023-01-16 08:00:00.000 +0000,2023-01-23 07:45:00.000 +0000,B0B5HMGS7C,424,2,459.0
"78e8c25d","LUXE WEAVERS Modern Area Rugs with Abstract Patterns 7681 â Medium Pile Area Rug, Passion / 6 x 9",BEST_DEAL,2023-01-16 08:00:00.000 +0000,2023-01-23 07:45:00.000 +0000,B0921TP88K,2179,26,3757.0
"78e8c25d","LUXE WEAVERS Modern Area Rugs with Abstract Patterns 7681 â Medium Pile Area Rug, Passion / 6 x 9",BEST_DEAL,2023-01-16 08:00:00.000 +0000,2023-01-23 07:45:00.000 +0000,B088T16DRF,396,0,0.0
"78e8c25d","LUXE WEAVERS Modern Area Rugs with Abstract Patterns 7681 â Medium Pile Area Rug, Passion / 6 x 9",BEST_DEAL,2023-01-16 08:00:00.000 +0000,2023-01-23 07:45:00.000 +0000,B088SR8T9J,552,2,102.0
